,Link,Name,Description,Actual_price,offer_price
80,/mamaearth-moisture-matte-longstay-lipstick--13-citrus-nude/p/4936957360_multi,MAMAEARTH,Moisture Matte Longstay Lipstick - 13 Citrus Nude,₹499,₹424
81,/revlon-colorstay-overtime-lip-color-infinite-raspberry-8-ml-/p/4919416600_infiniteraspberry,REVLON,Colorstay Overtime Lip Color -Infinite Raspberry (8 ml),₹871,₹684
82,/maybelline-new-york-sensational-liquid-matte-lipstick--nu01-bare-it-all/p/4928755530_nu01bareitall,Maybelline New York,Sensational Liquid Matte Lipstick - NU01 Bare It All,₹309,₹247
83,/lakme-forever-matte-liquid-lip-colour-purple-pout/p/4919544020_purple,LAKME,Forever Matte Liquid Lip Colour Purple Pout,₹279,₹223
84,/revlon-super-lustrous-matte-lipstick--red-rules-the-world-4-2-g-/p/4919416750_redrulestheworld,REVLON,Super Lustrous Matte Lipstick - Red Rules The World (4.2 g),₹543,₹426
85,/lakme-forever-matte-liquid-lip-colour-orange-tango/p/4919544020_orangetango,LAKME,Forever Matte Liquid Lip Colour Orange Tango,₹279,₹223
86,/faces-canada-matte-addiction-lipstick-10-fierce-brown/p/4936523330_brown,Faces Canada,Matte Addiction Lipstick-10 Fierce Brown,₹659,₹528
87,/revlon-colorstay-satin-ink-liquid-lip-color--silky-sienna/p/4931114770_pink,REVLON,Colorstay Satin Ink Liquid Lip Color - Silky Sienna,₹699,₹559
88,/swiss-beauty-pure-matte-lipstick--caf-mocha/p/4936360890_multi,Swiss Beauty,Pure Matte Lipstick - Caf Mocha,₹195,₹156
89,/maybelline-new-york-40-believer-super-stay-matte-ink-liquid-lipstick--5-g/p/4916532930_15lover,Maybelline New York,40 Believer Super Stay Matte Ink Liquid Lipstick - 5 g,₹468,₹367
90,/swiss-beauty-non-transfer-waterproof-lipstick--coral-crush/p/4936362160_multi,Swiss Beauty,Non-Transfer Waterproof Lipstick - Coral Crush,₹319,₹255
91,/lakme-forever-matte-liquid-lip-colour--pink-ballet/p/4919544020_pinkballet,LAKME,forever Matte Liquid Lip Colour - Pink Ballet,₹279,₹223
92,/lakme-forever-matte-liquid-lip-colour-coral-candy/p/4919544020_coralcandy,LAKME,Forever Matte Liquid Lip Colour Coral Candy,₹279,₹223
93,/faces-canada-ultime-pro-matte-lip-crayon-cashmere-2-8-g-/p/4919415140_pink,Faces Canada,Ultime Pro Matte Lip Crayon- Cashmere (2.8 g),₹594,₹475
94,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick/p/4916532930_225delicate,Maybelline New York,Super Stay Matte Ink Liquid Lipstick,₹468,₹367
95,/maybelline-new-york-color-sensational-loaded-bold-lipstick--midnight-date/p/4913558780_midnightdate,Maybelline New York,Color Sensational Loaded Bold Lipstick - Midnight Date,₹253,₹202
96,/revlon-colorstay-satin-ink-liquid-lip-color--speak-up/p/4931114810_pink,REVLON,Colorstay Satin Ink Liquid Lip Color - Speak Up,₹699,₹559
97,/revlon-colorstay-overtime-lip-color--non-stop-cherry-8-ml-/p/4919416600_nonstopcherry,REVLON,Colorstay Overtime Lip Color - Non Stop Cherry (8 ml),₹988,₹780
98,/revlon-colorstay-satin-ink-liquid-lip-color--on-a-mission/p/4931114870_pink,REVLON,Colorstay Satin Ink Liquid Lip Color - On a Mission,₹699,₹559
99,/chambor-matte-riot-203--road-rage-red/p/4915255520_roadragered,CHAMBOR,Matte Riot 203 - Road Rage Red,₹296,₹237
